experiment,round,difference
B1_full_sharing,10,0.21000000000000085
B1_full_sharing,20,1.8000000000000007
B1_full_sharing,30,0.9600000000000009
B1_full_sharing,40,1.8000000000000007
B1_full_sharing,50,0.09999999999999787
B1_full_sharing,60,1.0100000000000016
B1_full_sharing,70,0.5500000000000007
B1_full_sharing,90,0.2900000000000027
B1_full_sharing,100,0.39000000000000057
B1_full_sharing,110,1.389999999999997
B1_full_sharing,120,3.2600000000000016
B1_full_sharing,130,1.4800000000000004
B1_full_sharing,140,3.210000000000001
B1_full_sharing,150,1.0599999999999987
B1_full_sharing,160,2.41
B1_full_sharing,170,0.5899999999999999
B1_full_sharing,180,0.7600000000000016
B1_full_sharing,190,0.639999999999997
B1_full_sharing,200,1.6199999999999974
B1_full_sharing,210,2.799999999999997
B1_full_sharing,220,0.4400000000000013
B1_full_sharing,230,2.879999999999999
B1_full_sharing,240,0.7300000000000004
B1_full_sharing,250,2.1899999999999977
B1_full_sharing,260,1.3100000000000023
B1_full_sharing,270,1.7399999999999984
B1_full_sharing,280,1.3200000000000003
B1_full_sharing,290,1.9599999999999973
B1_full_sharing,300,2.0599999999999987
B1_full_sharing,310,1.9600000000000009
B1_full_sharing,320,1.5300000000000011
B1_full_sharing,330,0.8900000000000006
B1_full_sharing,340,1.129999999999999
B1_full_sharing,350,0.22999999999999687
B2_no_sharing,10,0.19999999999999574
B2_no_sharing,20,2.2799999999999976
B2_no_sharing,30,2.210000000000001
B2_no_sharing,40,0.2799999999999976
B2_no_sharing,50,0.08999999999999986
B2_no_sharing,60,1.2399999999999984
B2_no_sharing,70,0.46000000000000085
B2_no_sharing,80,3.039999999999999
B2_no_sharing,90,0.9599999999999973
B2_no_sharing,100,1.120000000000001
B2_no_sharing,110,1.1000000000000014
B2_no_sharing,120,1.5599999999999987
B2_no_sharing,130,1.8999999999999986
B2_no_sharing,140,2.8500000000000014
B2_no_sharing,150,4.510000000000002
B2_no_sharing,160,0.629999999999999
B2_no_sharing,170,0.020000000000003126
B2_no_sharing,180,0.0799999999999983
B2_no_sharing,190,1.6799999999999997
B2_no_sharing,200,1.7199999999999989
B2_no_sharing,210,0.25
B2_no_sharing,220,1.0799999999999983
B2_no_sharing,230,1.4400000000000013
B2_no_sharing,240,2.1799999999999997
B2_no_sharing,250,0.0799999999999983
B2_no_sharing,260,0.129999999999999
B2_no_sharing,270,0.2900000000000027
B2_no_sharing,280,2.129999999999999
B2_no_sharing,290,2.5500000000000007
B2_no_sharing,300,0.10999999999999943
B2_no_sharing,310,0.5500000000000007
B2_no_sharing,320,1.5899999999999999
B2_no_sharing,330,1.2800000000000011
B2_no_sharing,340,1.6999999999999993
B2_no_sharing,350,0.1999999999999993
P1_share_early,10,0.870000000000001
P1_share_early,20,0.889999999999997
P1_share_early,30,0.120000000000001
P1_share_early,40,1.3399999999999999
P1_share_early,50,0.3200000000000003
P1_share_early,60,0.17999999999999972
P1_share_early,70,0.7800000000000011
P1_share_early,80,1.2600000000000016
P1_share_early,90,4.210000000000001
P1_share_early,100,0.5
P1_share_early,110,2.1400000000000006
P1_share_early,120,1.2300000000000004
P1_share_early,130,0.4399999999999977
P1_share_early,140,1.2399999999999984
P1_share_early,150,3.030000000000001
P1_share_early,160,1.1099999999999994
P1_share_early,170,0.6600000000000001
P1_share_early,180,0.5199999999999996
P1_share_early,190,0.8900000000000006
P1_share_early,200,0.15000000000000213
P1_share_early,210,0.9800000000000004
P1_share_early,220,1.0199999999999996
P1_share_early,230,0.41000000000000014
P1_share_early,240,0.7899999999999991
P1_share_early,250,0.8500000000000014
P1_share_early,260,1.0299999999999976
P1_share_early,270,2.1899999999999977
P1_share_early,280,0.23000000000000043
P1_share_early,290,1.5
P1_share_early,300,1.7799999999999976
P1_share_early,310,0.7300000000000004
P1_share_early,320,1.5399999999999991
P1_share_early,330,2.25
P1_share_early,340,0.09999999999999787
P1_share_early,350,0.9100000000000001
P2_share_middle,10,1.2100000000000009
P2_share_middle,20,0.7699999999999996
P2_share_middle,30,0.7800000000000011
P2_share_middle,40,1.1799999999999997
P2_share_middle,50,1.1099999999999994
P2_share_middle,60,3.2799999999999976
P2_share_middle,70,1.1500000000000021
P2_share_middle,80,1.379999999999999
P2_share_middle,90,1.3599999999999994
P2_share_middle,100,0.6800000000000033
P2_share_middle,110,0.14000000000000057
P2_share_middle,120,2.210000000000001
P2_share_middle,130,2.1900000000000013
P2_share_middle,140,1.0599999999999987
P2_share_middle,150,1.8099999999999987
P2_share_middle,160,0.3099999999999987
P2_share_middle,170,0.1999999999999993
P2_share_middle,180,2.7900000000000027
P2_share_middle,190,0.5500000000000007
P2_share_middle,200,0.6799999999999997
P2_share_middle,210,1.6600000000000001
P2_share_middle,220,0.490000000000002
P2_share_middle,230,3.849999999999998
P2_share_middle,240,0.2799999999999976
P2_share_middle,250,0.5
P2_share_middle,260,1.1400000000000006
P2_share_middle,270,2.9400000000000013
P2_share_middle,280,3.5600000000000023
P2_share_middle,290,0.3099999999999987
P2_share_middle,300,2.7099999999999973
P2_share_middle,310,3.1000000000000014
P2_share_middle,320,1.5199999999999996
P2_share_middle,330,3.8000000000000007
P2_share_middle,340,0.6799999999999997
P2_share_middle,350,1.5100000000000016
P3_share_late,10,1.9700000000000024
P3_share_late,20,2.25
P3_share_late,30,1.0800000000000018
P3_share_late,40,0.7100000000000009
P3_share_late,50,1.25
P3_share_late,60,1.5599999999999987
P3_share_late,70,0.5399999999999991
P3_share_late,80,1.1499999999999986
P3_share_late,90,2.6900000000000013
P3_share_late,100,0.8000000000000007
P3_share_late,110,0.7000000000000028
P3_share_late,120,0.33000000000000185
P3_share_late,130,0.41000000000000014
P3_share_late,140,1.5500000000000007
P3_share_late,150,4.100000000000001
P3_share_late,160,0.22000000000000242
P3_share_late,170,0.5500000000000007
P3_share_late,180,0.8099999999999987
P3_share_late,190,1.5600000000000023
P3_share_late,200,0.08999999999999986
P3_share_late,210,1.0500000000000007
P3_share_late,220,0.14000000000000057
P3_share_late,230,0.990000000000002
P3_share_late,240,1.3100000000000023
P3_share_late,250,1.2399999999999984
P3_share_late,260,0.3200000000000003
P3_share_late,270,0.3000000000000007
P3_share_late,280,0.8599999999999994
P3_share_late,290,0.9199999999999982
P3_share_late,300,1.5
P3_share_late,310,4.620000000000001
P3_share_late,320,1.009999999999998
P3_share_late,330,0.6600000000000001
P3_share_late,340,0.490000000000002
P3_share_late,350,0.019999999999999574
P4_share_backbone,10,1.7699999999999996
P4_share_backbone,20,0.759999999999998
P4_share_backbone,30,1.5299999999999976
P4_share_backbone,40,1.7199999999999989
P4_share_backbone,50,0.34999999999999787
P4_share_backbone,60,1.8299999999999983
P4_share_backbone,70,0.259999999999998
P4_share_backbone,80,1.6799999999999997
P4_share_backbone,90,0.7600000000000016
P4_share_backbone,100,2.09
P4_share_backbone,110,2.219999999999999
P4_share_backbone,120,1.2800000000000011
P4_share_backbone,130,2.1000000000000014
P4_share_backbone,140,2.5199999999999996
P4_share_backbone,150,3.1499999999999986
P4_share_backbone,160,0.23999999999999844
P4_share_backbone,170,1.2300000000000004
P4_share_backbone,180,1.379999999999999
P4_share_backbone,190,1.3300000000000018
P4_share_backbone,200,2.1999999999999993
P4_share_backbone,210,1.7900000000000027
P4_share_backbone,220,1.2900000000000027
P4_share_backbone,230,0.6400000000000006
P4_share_backbone,240,0.2699999999999996
P4_share_backbone,250,0.629999999999999
P4_share_backbone,260,0.3000000000000007
P4_share_backbone,270,0.21000000000000085
P4_share_backbone,280,4.84
P4_share_backbone,290,0.75
P4_share_backbone,300,2.960000000000001
P4_share_backbone,310,0.46000000000000085
P4_share_backbone,320,5.859999999999999
P4_share_backbone,330,0.1700000000000017
P4_share_backbone,340,1.75
P4_share_backbone,350,1.9499999999999993
