experiment,round,avg_elo
B1_full_sharing,10,800.0
B1_full_sharing,20,800.0
B1_full_sharing,30,800.0
B1_full_sharing,40,800.0
B1_full_sharing,50,800.0
B1_full_sharing,60,800.0
B1_full_sharing,70,800.0
B1_full_sharing,90,800.0
B1_full_sharing,100,812.5
B1_full_sharing,110,812.5
B1_full_sharing,120,862.5
B1_full_sharing,130,1050.0
B1_full_sharing,140,800.0
B1_full_sharing,150,937.5
B1_full_sharing,160,825.0
B1_full_sharing,170,800.0
B1_full_sharing,180,900.0
B1_full_sharing,190,850.0
B1_full_sharing,200,950.0
B1_full_sharing,210,837.5
B1_full_sharing,220,875.0
B1_full_sharing,230,1062.5
B1_full_sharing,240,987.5
B1_full_sharing,250,900.0
B1_full_sharing,260,1012.5
B1_full_sharing,270,925.0
B1_full_sharing,280,875.0
B1_full_sharing,290,1012.5
B1_full_sharing,300,1000.0
B1_full_sharing,310,1012.5
B1_full_sharing,320,950.0
B1_full_sharing,330,1012.5
B1_full_sharing,340,987.5
B1_full_sharing,350,1012.5
B2_no_sharing,10,800.0
B2_no_sharing,20,800.0
B2_no_sharing,30,800.0
B2_no_sharing,40,800.0
B2_no_sharing,50,800.0
B2_no_sharing,60,800.0
B2_no_sharing,70,800.0
B2_no_sharing,80,850.0
B2_no_sharing,90,812.5
B2_no_sharing,100,875.0
B2_no_sharing,110,800.0
B2_no_sharing,120,862.5
B2_no_sharing,130,925.0
B2_no_sharing,140,937.5
B2_no_sharing,150,862.5
B2_no_sharing,160,950.0
B2_no_sharing,170,962.5
B2_no_sharing,180,1025.0
B2_no_sharing,190,962.5
B2_no_sharing,200,1050.0
B2_no_sharing,210,850.0
B2_no_sharing,220,975.0
B2_no_sharing,230,950.0
B2_no_sharing,240,1012.5
B2_no_sharing,250,1037.5
B2_no_sharing,260,962.5
B2_no_sharing,270,937.5
B2_no_sharing,280,962.5
B2_no_sharing,290,987.5
B2_no_sharing,300,975.0
B2_no_sharing,310,1025.0
B2_no_sharing,320,937.5
B2_no_sharing,330,1037.5
B2_no_sharing,340,1025.0
B2_no_sharing,350,1150.0
P1_share_early,10,800.0
P1_share_early,20,800.0
P1_share_early,30,800.0
P1_share_early,40,800.0
P1_share_early,50,800.0
P1_share_early,60,800.0
P1_share_early,70,812.5
P1_share_early,80,850.0
P1_share_early,90,887.5
P1_share_early,100,862.5
P1_share_early,110,975.0
P1_share_early,120,850.0
P1_share_early,130,800.0
P1_share_early,140,887.5
P1_share_early,150,950.0
P1_share_early,160,800.0
P1_share_early,170,850.0
P1_share_early,180,912.5
P1_share_early,190,1012.5
P1_share_early,200,862.5
P1_share_early,210,962.5
P1_share_early,220,1025.0
P1_share_early,230,887.5
P1_share_early,240,925.0
P1_share_early,250,925.0
P1_share_early,260,962.5
P1_share_early,270,1025.0
P1_share_early,280,1112.5
P1_share_early,290,1012.5
P1_share_early,300,962.5
P1_share_early,310,1137.5
P1_share_early,320,1037.5
P1_share_early,330,1025.0
P1_share_early,340,975.0
P1_share_early,350,1100.0
P2_share_middle,10,800.0
P2_share_middle,20,800.0
P2_share_middle,30,800.0
P2_share_middle,40,800.0
P2_share_middle,50,800.0
P2_share_middle,60,800.0
P2_share_middle,70,812.5
P2_share_middle,80,800.0
P2_share_middle,90,837.5
P2_share_middle,100,800.0
P2_share_middle,110,800.0
P2_share_middle,120,887.5
P2_share_middle,130,825.0
P2_share_middle,140,925.0
P2_share_middle,150,875.0
P2_share_middle,160,875.0
P2_share_middle,170,900.0
P2_share_middle,180,887.5
P2_share_middle,190,937.5
P2_share_middle,200,962.5
P2_share_middle,210,862.5
P2_share_middle,220,1050.0
P2_share_middle,230,900.0
P2_share_middle,240,1087.5
P2_share_middle,250,1025.0
P2_share_middle,260,950.0
P2_share_middle,270,1062.5
P2_share_middle,280,1087.5
P2_share_middle,290,1025.0
P2_share_middle,300,1000.0
P2_share_middle,310,1125.0
P2_share_middle,320,1062.5
P2_share_middle,330,1037.5
P2_share_middle,340,1075.0
P2_share_middle,350,1137.5
P3_share_late,10,800.0
P3_share_late,20,800.0
P3_share_late,30,800.0
P3_share_late,40,800.0
P3_share_late,50,800.0
P3_share_late,60,800.0
P3_share_late,70,850.0
P3_share_late,80,825.0
P3_share_late,90,800.0
P3_share_late,100,800.0
P3_share_late,110,850.0
P3_share_late,120,887.5
P3_share_late,130,837.5
P3_share_late,140,850.0
P3_share_late,150,900.0
P3_share_late,160,887.5
P3_share_late,170,962.5
P3_share_late,180,975.0
P3_share_late,190,912.5
P3_share_late,200,962.5
P3_share_late,210,937.5
P3_share_late,220,912.5
P3_share_late,230,1062.5
P3_share_late,240,900.0
P3_share_late,250,1000.0
P3_share_late,260,975.0
P3_share_late,270,1112.5
P3_share_late,280,1012.5
P3_share_late,290,1012.5
P3_share_late,300,1062.5
P3_share_late,310,975.0
P3_share_late,320,900.0
P3_share_late,330,975.0
P3_share_late,340,1000.0
P3_share_late,350,1050.0
P4_share_backbone,10,800.0
P4_share_backbone,20,800.0
P4_share_backbone,30,800.0
P4_share_backbone,40,800.0
P4_share_backbone,50,800.0
P4_share_backbone,60,800.0
P4_share_backbone,70,800.0
P4_share_backbone,80,800.0
P4_share_backbone,90,800.0
P4_share_backbone,100,887.5
P4_share_backbone,110,837.5
P4_share_backbone,120,887.5
P4_share_backbone,130,925.0
P4_share_backbone,140,875.0
P4_share_backbone,150,862.5
P4_share_backbone,160,850.0
P4_share_backbone,170,850.0
P4_share_backbone,180,850.0
P4_share_backbone,190,950.0
P4_share_backbone,200,950.0
P4_share_backbone,210,950.0
P4_share_backbone,220,987.5
P4_share_backbone,230,937.5
P4_share_backbone,240,1000.0
P4_share_backbone,250,1037.5
P4_share_backbone,260,1012.5
P4_share_backbone,270,1012.5
P4_share_backbone,280,1012.5
P4_share_backbone,290,1000.0
P4_share_backbone,300,1012.5
P4_share_backbone,310,975.0
P4_share_backbone,320,987.5
P4_share_backbone,330,987.5
P4_share_backbone,340,1025.0
P4_share_backbone,350,937.5
