experiment,round,avg_win_rate
B1_full_sharing,10,0.0
B1_full_sharing,20,0.0
B1_full_sharing,30,3.3000000000000003
B1_full_sharing,40,0.0
B1_full_sharing,50,1.6500000000000001
B1_full_sharing,60,5.0
B1_full_sharing,70,1.6500000000000001
B1_full_sharing,90,3.3000000000000003
B1_full_sharing,100,8.35
B1_full_sharing,110,5.0
B1_full_sharing,120,11.65
B1_full_sharing,130,28.300000000000004
B1_full_sharing,140,1.6500000000000001
B1_full_sharing,150,16.7
B1_full_sharing,160,5.0
B1_full_sharing,170,3.3000000000000003
B1_full_sharing,180,13.35
B1_full_sharing,190,13.3
B1_full_sharing,200,18.35
B1_full_sharing,210,13.3
B1_full_sharing,220,16.65
B1_full_sharing,230,28.35
B1_full_sharing,240,18.35
B1_full_sharing,250,20.0
B1_full_sharing,260,28.35
B1_full_sharing,270,21.65
B1_full_sharing,280,13.3
B1_full_sharing,290,25.0
B1_full_sharing,300,25.0
B1_full_sharing,310,18.35
B1_full_sharing,320,20.0
B1_full_sharing,330,23.35
B1_full_sharing,340,23.35
B1_full_sharing,350,21.65
B2_no_sharing,10,0.0
B2_no_sharing,20,0.0
B2_no_sharing,30,0.0
B2_no_sharing,40,3.3000000000000003
B2_no_sharing,50,5.0
B2_no_sharing,60,3.3000000000000003
B2_no_sharing,70,8.35
B2_no_sharing,80,6.65
B2_no_sharing,90,5.0
B2_no_sharing,100,10.0
B2_no_sharing,110,13.35
B2_no_sharing,120,13.35
B2_no_sharing,130,18.3
B2_no_sharing,140,15.0
B2_no_sharing,150,13.35
B2_no_sharing,160,20.0
B2_no_sharing,170,25.0
B2_no_sharing,180,25.0
B2_no_sharing,190,18.35
B2_no_sharing,200,30.000000000000004
B2_no_sharing,210,16.65
B2_no_sharing,220,20.0
B2_no_sharing,230,21.65
B2_no_sharing,240,18.35
B2_no_sharing,250,26.700000000000003
B2_no_sharing,260,21.65
B2_no_sharing,270,21.700000000000003
B2_no_sharing,280,21.700000000000003
B2_no_sharing,290,23.35
B2_no_sharing,300,23.35
B2_no_sharing,310,23.3
B2_no_sharing,320,23.35
B2_no_sharing,330,23.35
B2_no_sharing,340,25.0
B2_no_sharing,350,31.700000000000003
P1_share_early,10,0.0
P1_share_early,20,0.0
P1_share_early,30,0.0
P1_share_early,40,1.6500000000000001
P1_share_early,50,1.6500000000000001
P1_share_early,60,3.35
P1_share_early,70,6.7
P1_share_early,80,6.7
P1_share_early,90,13.35
P1_share_early,100,13.3
P1_share_early,110,15.0
P1_share_early,120,6.7
P1_share_early,130,8.35
P1_share_early,140,13.3
P1_share_early,150,13.35
P1_share_early,160,3.3000000000000003
P1_share_early,170,13.35
P1_share_early,180,15.0
P1_share_early,190,21.65
P1_share_early,200,13.35
P1_share_early,210,21.65
P1_share_early,220,23.3
P1_share_early,230,15.0
P1_share_early,240,13.35
P1_share_early,250,18.35
P1_share_early,260,20.0
P1_share_early,270,25.0
P1_share_early,280,30.000000000000004
P1_share_early,290,20.0
P1_share_early,300,18.35
P1_share_early,310,36.7
P1_share_early,320,26.650000000000002
P1_share_early,330,26.65
P1_share_early,340,25.0
P1_share_early,350,28.35
P2_share_middle,10,1.6500000000000001
P2_share_middle,20,0.0
P2_share_middle,30,0.0
P2_share_middle,40,0.0
P2_share_middle,50,1.6500000000000001
P2_share_middle,60,1.6500000000000001
P2_share_middle,70,5.0
P2_share_middle,80,6.65
P2_share_middle,90,8.35
P2_share_middle,100,1.6500000000000001
P2_share_middle,110,5.0
P2_share_middle,120,11.7
P2_share_middle,130,8.35
P2_share_middle,140,18.3
P2_share_middle,150,15.0
P2_share_middle,160,15.0
P2_share_middle,170,11.7
P2_share_middle,180,20.0
P2_share_middle,190,23.300000000000004
P2_share_middle,200,21.65
P2_share_middle,210,18.35
P2_share_middle,220,30.000000000000004
P2_share_middle,230,18.3
P2_share_middle,240,31.700000000000003
P2_share_middle,250,26.650000000000002
P2_share_middle,260,18.35
P2_share_middle,270,30.000000000000004
P2_share_middle,280,30.0
P2_share_middle,290,25.0
P2_share_middle,300,18.35
P2_share_middle,310,35.0
P2_share_middle,320,33.35
P2_share_middle,330,26.700000000000003
P2_share_middle,340,26.650000000000002
P2_share_middle,350,28.35
P3_share_late,10,0.0
P3_share_late,20,0.0
P3_share_late,30,1.6500000000000001
P3_share_late,40,1.6500000000000001
P3_share_late,50,0.0
P3_share_late,60,11.65
P3_share_late,70,10.0
P3_share_late,80,6.65
P3_share_late,90,5.0
P3_share_late,100,5.0
P3_share_late,110,15.0
P3_share_late,120,16.65
P3_share_late,130,11.65
P3_share_late,140,11.65
P3_share_late,150,13.3
P3_share_late,160,16.65
P3_share_late,170,18.3
P3_share_late,180,13.3
P3_share_late,190,15.0
P3_share_late,200,23.35
P3_share_late,210,18.35
P3_share_late,220,16.7
P3_share_late,230,26.65
P3_share_late,240,11.7
P3_share_late,250,23.35
P3_share_late,260,23.35
P3_share_late,270,26.65
P3_share_late,280,20.0
P3_share_late,290,26.650000000000002
P3_share_late,300,30.000000000000004
P3_share_late,310,20.0
P3_share_late,320,20.0
P3_share_late,330,20.0
P3_share_late,340,23.3
P3_share_late,350,28.35
P4_share_backbone,10,0.0
P4_share_backbone,20,0.0
P4_share_backbone,30,0.0
P4_share_backbone,40,3.35
P4_share_backbone,50,0.0
P4_share_backbone,60,5.0
P4_share_backbone,70,3.3000000000000003
P4_share_backbone,80,5.0
P4_share_backbone,90,6.7
P4_share_backbone,100,11.7
P4_share_backbone,110,6.65
P4_share_backbone,120,13.35
P4_share_backbone,130,15.0
P4_share_backbone,140,13.35
P4_share_backbone,150,16.7
P4_share_backbone,160,21.65
P4_share_backbone,170,16.65
P4_share_backbone,180,13.3
P4_share_backbone,190,16.65
P4_share_backbone,200,11.65
P4_share_backbone,210,21.700000000000003
P4_share_backbone,220,20.0
P4_share_backbone,230,20.0
P4_share_backbone,240,28.300000000000004
P4_share_backbone,250,26.65
P4_share_backbone,260,25.0
P4_share_backbone,270,23.35
P4_share_backbone,280,23.300000000000004
P4_share_backbone,290,21.700000000000003
P4_share_backbone,300,28.35
P4_share_backbone,310,11.7
P4_share_backbone,320,18.35
P4_share_backbone,330,28.35
P4_share_backbone,340,21.700000000000003
P4_share_backbone,350,21.700000000000003
